TF	M1	M2	M3	M4	M5	M6	M7
HOXB2	-1.6169531538284387	-1.5849481079737007	0.32692362944711517	-1.2484659620808498	-1.9860930652996192	0.09293207161298378	-1.386932043643891
HOXB3	-1.6169531538284387	-1.5822785515539146	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	2.041362759501103	-1.386932043643891
HOXB7	-1.6169531538284387	-1.5821165821572811	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	2.041292008920558	-1.386932043643891
HOXC10	-1.6169531538284387	1.8169592961607453	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.15818623929085915
HOXD10	-1.6169531538284387	1.6324612119717328	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.3109542067165035
HOXD11	-1.6169531538284387	2.120930948464858	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-0.0941180936224919
HOXD9	-1.6169531538284387	1.6875400548363813	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.26527469465541
HSF1	-0.22731109809874228	0.7676094154214185	-0.5682869750217449	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
HSF2	-1.0393968821430783	-0.05564987074259009	0.4906477848209957	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
HSF4	-1.6169531538284387	-1.5849481079737007	1.784999592396032	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
ID1	0.7314405514961918	-1.3502579993416695	-1.5208410151355243	-0.9307587344036284	-1.0009830578209962	-0.7007424027367736	-1.254623755675135
ID2	-1.2636084302614825	-1.4517619502984485	1.5109946680630941	-1.2484659620808498	-1.98478505145648	-1.4927894693524473	-1.386932043643891
ID4	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.15681571374171296	1.464472785371358	-1.4927894693524473	-1.386932043643891
IKZF1	-1.6169531538284387	-1.5849481079737007	0.31285030860823587	-1.2484659620808498	-1.9388607054130265	0.07322318855318899	-1.386932043643891
IKZF2	-1.0359901329188506	-0.2632439040805165	0.6285181095131631	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
IRF1	-0.7359558777813968	-0.7961817481142393	-0.07911991001479947	-1.2484659620808498	-1.9860930652996192	-1.0416179522131674	-0.7896938798010145
IRF2	-1.1320786611761178	1.4764420732865382	-1.310653352049294	-1.0845616758404877	-1.8216306012890449	-1.4927894693524473	-0.5639260435789633
IRF3	0.09514301214783427	-0.21697746028234224	-1.5208410151355243	-0.620840172823655	-0.7047777906168319	-1.4927894693524473	-1.386932043643891
IRF4	-1.6169531538284387	-1.5849481079737007	1.7774695601200956	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
IRF5	-1.6169531538284387	-1.5849481079737007	1.7765778340476732	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
IRF7	-1.1915666593098668	-0.07773630038084198	-0.6918868280508378	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.292760583849983
IRF8	-1.6169531538284387	-1.5849481079737007	1.7819956361946847	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
IRX1	-1.349348716769784	0.9246241453398439	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.6782474444258959
IRX2	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	0.5890114519812856	0.2666872227091157	-1.4927894693524473	-1.386932043643891
IRX3	-1.3722668181885223	1.0324925107786986	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.605973431838711
IRX5	-1.3673957320563277	1.046427176295456	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	0.5902593977465502
ISL1	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	2.1069703405222002	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
ISL2	-0.678945652805459	1.0381100103149692	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-0.29853106137485613	-1.3869300263587638
JDP2	-1.6169531538284387	-1.5849481079737007	-0.20026861120885997	-0.5062372408266353	-0.015650076844278826	-1.4927894693524473	-1.386932043643891
JUN	-1.6169531538284387	-1.1254888727553647	-1.5208410151355243	-1.2484659620808498	-1.9844650615771244	-1.1059382194658285	2.133771831633958
JUNB	-1.3677883490269247	-0.8902026052094498	-1.5208410151355243	-1.2484659620808498	-1.9860921096239526	-1.1112909207561597	1.7538683302470721
JUND	-1.3569007009369327	-1.4242387939281345	-1.5208410151355243	-1.1936381108671694	-1.876422885989093	-1.155496356931065	2.0785545734328004
KLF1	-1.615897587983735	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	2.0395084884485617	-1.386932043643891
KLF10	0.16115958092194296	-1.5849481079737007	0.07771620056276612	-1.2484659620808498	-1.9580262039054477	-0.7855000810359383	-1.386932043643891
KLF11	1.5739430561706065	-1.5849481079737007	-1.5208410151355243	-1.2484659620808498	-1.9373177236930192	0.012760716643695947	-1.3869320436221846
KLF12	0.23375732772339303	-0.7138500211763208	-0.9531427989985314	-0.7903847762230589	-0.9513309013391829	-1.4927894693524473	-1.3869320436438826
KLF13	2.5835282033990064	-1.0530534814807933	-1.0068042470481078	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
KLF16	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	-0.19836866971198142	1.5321771842928642	-1.4927894693524473	-1.386932043643891
KLF3	0.7341482681254438	-0.5867576929270377	-1.492092311705116	-1.2484659620808498	-1.957700475754733	-0.13956875406330924	-1.386932043643891
KLF4	2.2529025118028034	0.06746990059689412	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.3869317575621565
KLF5	1.0406201957947236	-0.38245046372010666	-1.5208410151355243	-0.8901775782896167	-0.9876640368706727	-1.4927894693524473	-1.386932043643891
KLF7	1.3905474903186208	-0.22200540219992781	-1.5208410151355243	-0.5451058057323727	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
KLF9	3.5446242690298533	-1.143585274892625	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.3869320400129865
LBX2	-1.6169531538284387	1.2016952781116328	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	0.17159971365416912	-1.3842544700333874
LEF1	-1.1742153323579438	-0.4596265968844878	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-0.8447105672047048	0.919092109856276
LHX2	-1.6169531538284387	-1.5849481079737007	1.7857630172149737	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
LHX3	-1.6169531538284387	-1.5781452608664936	-1.5208410151355243	0.763901297888824	-1.9860930652996192	-0.07368852368839261	-1.3869320436244776
LHX4	-1.6169531538284387	-1.5849481079737007	-1.5208410151355243	2.099772636024813	-1.9860930652996192	-1.4927894693524473	-1.386932043643891
LHX6	-1.6169531538284387	-1.553458558551314	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	1.9998611512544398	-1.3869320436305383
LHX9	-1.284566163113194	2.5548921456654474	-1.5208410151355243	-1.2484659620808498	-1.9860930652996192	-1.4927894693524473	-0.7170264441238725
